        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603260000,   0.267,   0.478,   0.100,   0.111,   0.478,   0.100,   0.478,   0.200,   0.578
202603260006,   0.273,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260012,   0.285,   0.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260018,   0.301,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260024,   0.323,   0.508,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260030,   0.349,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260036,   0.381,   0.518,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260042,   0.417,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260048,   0.459,   0.541,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260054,   0.504,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260100,   0.555,   0.649,   0.100,  -0.006,   0.649,   0.100,   0.649,   0.100,   0.649
202603260106,   0.609,   0.708,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260112,   0.668,   0.760,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260118,   0.730,   0.849,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260124,   0.796,   0.908,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260130,   0.865,   0.970,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260136,   0.938,   0.970,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260142,   1.013,   1.039,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260148,   1.091,   1.151,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260154,   1.172,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260200,   1.254,   1.210,   0.100,  -0.144,   1.210,   0.100,   1.210,   0.100,   1.210
202603260206,   1.339,   1.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260212,   1.425,   1.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260218,   1.512,   1.538,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260224,   1.601,   1.600,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260230,   1.690,   1.708,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260236,   1.780,   1.708,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260242,   1.871,   1.790,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260248,   1.962,   1.899,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260254,   2.054,   2.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260300,   2.145,   2.089,   0.100,  -0.156,   2.089,   0.100,   2.089,   0.100,   2.089
202603260306,   2.236,   2.158,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260312,   2.327,   2.240,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260318,   2.417,   2.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260324,   2.507,   2.499,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260330,   2.596,   2.587,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260336,   2.684,   2.587,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260342,   2.772,   2.679,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260348,   2.858,   2.797,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260354,   2.942,   2.899,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260400,   3.025,   2.978,   0.100,  -0.147,   2.978,   0.100,   2.978,   0.100,   2.978
202603260406,   3.107,   3.089,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260412,   3.187,   3.188,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260418,   3.266,   3.368,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260424,   3.342,   3.489,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260430,   3.416,   3.548,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260436,   3.488,   3.548,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260442,   3.558,   3.588,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260448,   3.626,   3.689,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260454,   3.690,   3.768,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260500,   3.752,   3.860,   0.100,   0.008,   3.860,   0.100,   3.860,   0.100,   3.860
202603260506,   3.812,   3.929,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260512,   3.868,   4.027,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260518,   3.922,   4.139,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260524,   3.972,   4.188,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260530,   4.019,   4.237,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260536,   4.062,   4.237,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260542,   4.102,   4.280,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260548,   4.139,   4.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260554,   4.172,   4.378,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260600,   4.201,   4.427,   0.100,   0.126,   4.427,   0.100,   4.427,   0.100,   4.427
202603260606,   4.226,   4.437,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260612,   4.248,   4.437,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260618,   4.265,   4.480,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260624,   4.278,   4.480,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260630,   4.287,   4.480,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260636,   4.293,   4.480,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260642,   4.294,   4.519,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260648,   4.290,   4.509,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260654,   4.283,   4.509,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260700,   4.271,   4.490,   0.100,   0.119,   4.490,   0.000,   4.390,   0.100,   4.490
202603260706,   4.255,   4.480,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260712,   4.236,   4.427,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260718,   4.211,   4.418,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260724,   4.183,   4.339,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260730,   4.151,   4.300,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260736,   4.115,   4.300,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260742,   4.075,   4.257,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260748,   4.032,   4.198,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260754,   3.984,   4.159,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260800,   3.934,   4.099,   0.100,   0.065,   4.099,   0.000,   3.999,   0.100,   4.099
202603260806,   3.880,   3.988,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260812,   3.823,   3.909,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260818,   3.762,   3.837,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260824,   3.699,   3.778,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260830,   3.633,   3.709,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260836,   3.565,   3.709,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260842,   3.494,   3.627,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260848,   3.421,   3.558,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260854,   3.346,   3.489,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260900,   3.269,   3.378,   0.100,   0.009,   3.378,   0.000,   3.278,   0.100,   3.378
202603260906,   3.190,   3.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260912,   3.110,   3.207,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260918,   3.028,   3.050,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260924,   2.945,   2.958,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260930,   2.861,   2.889,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260936,   2.775,   2.889,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260942,   2.689,   2.807,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260948,   2.603,   2.719,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260954,   2.515,   2.660,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261000,   2.427,   2.568,   0.000,   0.141,   2.568,   0.000,   2.568,   0.000,   2.568
202603261006,   2.339,   2.509,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261012,   2.251,   2.450,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261018,   2.162,   2.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261024,   2.074,   2.191,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261030,   1.986,   2.089,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261036,   1.899,   2.089,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261042,   1.812,   2.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261048,   1.726,   1.928,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261054,   1.641,   1.859,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261100,   1.557,   1.767,   0.000,   0.210,   1.767,   0.000,   1.767,   0.000,   1.767
202603261106,   1.474,   1.679,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261112,   1.394,   1.571,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261118,   1.315,   1.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261124,   1.238,   1.361,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261130,   1.164,   1.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261136,   1.092,   1.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603261142,   1.024,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
